year,market,n,largest_pct_mean,largest_pct_median,largest_pct_q1,largest_pct_q3,largest_pct_std,friendly_pct_mean,friendly_pct_median,friendly_pct_q1,friendly_pct_q3,friendly_pct_std,voting_friendly_pct_mean,voting_friendly_pct_median,voting_friendly_pct_q1,voting_friendly_pct_q3,voting_friendly_pct_std,pct_below50_largest,pct_below50_friendly
2015,KOSPI,695,26.686781857451404,23.13,15.86,34.845,16.144465116777834,43.90749460043196,42.69,30.125,54.425,18.878124098197947,43.90749460043196,42.69,30.125,54.425,18.878124098197947,90.92872570194385,64.36285097192224
2016,KOSPI,711,26.75133620689655,23.1,15.5825,35.01,16.1101913849971,43.74661637931034,42.72,30.275,54.2675,19.302769348181748,43.74661637931034,42.72,30.275,54.2675,19.302769348181748,90.73275862068965,65.51724137931035
2017,KOSPI,730,26.703453389830507,23.435,15.89,35.01,15.840488520996129,43.74406779661016,43.555,30.805,54.185,18.379140349276643,43.74406779661016,43.555,30.805,54.185,18.379140349276643,90.67796610169492,63.983050847457626
2018,KOSPI,748,27.894306418219465,24.25,16.93,36.085,17.309534467771666,44.14571428571428,43.21,30.630000000000003,55.135,19.162981127748115,44.14571428571428,43.21,30.630000000000003,55.135,19.162981127748115,89.44099378881988,62.52587991718427
2019,KOSPI,759,27.700522088353416,23.84,16.4,37.055,17.015380417523208,44.09357429718876,43.86,30.267500000000002,54.605,19.63820929876947,44.09357429718876,43.86,30.267500000000002,54.605,19.63820929876947,88.95582329317268,63.05220883534136
2020,KOSPI,777,28.368247011952192,24.770000000000003,16.912499999999998,37.2925,17.33659070751862,44.56557768924302,44.55,30.365,55.07750000000001,19.193733434603676,44.56557768924302,44.55,30.365,55.07750000000001,19.193733434603676,88.64541832669323,62.94820717131474
2021,KOSPI,794,28.27859375,24.09,16.1675,38.4725,17.885788659809382,44.113164062500005,43.795,30.0075,55.04750000000001,19.727218636580712,44.113164062500005,43.795,30.0075,55.04750000000001,19.727218636580712,88.0859375,64.2578125
2022,KOSPI,800,29.4806746031746,25.075,16.814999999999998,39.065,19.61478190361827,45.09418650793651,44.114999999999995,30.52,55.54500000000001,21.182092368561584,45.09418650793651,44.114999999999995,30.52,55.54500000000001,21.182092368561584,87.6984126984127,62.698412698412696
2023,KOSPI,816,29.73159223300971,25.4,17.115000000000002,39.135,19.264612630273472,45.140563106796115,43.8,30.475,55.7,21.42162620198445,45.140563106796115,43.8,30.475,55.7,21.42162620198445,87.37864077669903,62.912621359223294
2024,KOSPI,830,30.296412213740457,25.810000000000002,17.237499999999997,40.16,19.134294272679686,45.34442748091603,43.81,31.075,56.9025,20.27906951226929,45.34442748091603,43.81,31.075,56.9025,20.27906951226929,85.87786259541986,62.02290076335878
2025,KOSPI,835,30.67453154875717,26.99,17.115000000000002,41.394999999999996,18.944436266119205,45.94755258126195,45.25,32.709999999999994,56.165,20.018201749367005,45.94755258126195,45.25,32.709999999999994,56.165,20.018201749367005,85.27724665391969,60.22944550669216
